Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Direction
HA+EMD / SHAM,Q75NG9,Q75NG9,3.976256255755372,3.976256255755372,0.0002408448723401,0.0018567869577044,112,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,1473.88285133737,15.7388285133737,HA+EMD,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
VetricynVF / SHAM,Q75NG9,Q75NG9,3.7287122916129887,3.7287122916129887,0.0002565556321248,0.0019367711573603,82,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,1225.727438607122,13.257274386071218,VetricynVF,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
HA+P2 / SHAM,Q75NG9,Q75NG9,3.029528240034721,3.029528240034721,0.000855233734947,0.0044467712902983,106,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,716.5426482024216,8.165426482024216,HA+P2,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
HA+P6 / SHAM,Q75NG9,Q75NG9,2.8330180983568414,2.8330180983568414,7.56654256695744e-05,0.0008322406171347,106,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,612.5632594106792,7.125632594106792,HA+P6,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
VetricynVF / SHAM,A0A5G2R327,A0A5G2R327,2.7405727478527235,2.7405727478527235,0.0049380334009923,0.0149428685924939,82,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,568.3356111569426,6.683356111569426,VetricynVF,SHAM,,,,Upregulated
EMD / SHAM,Q28989,Q28989,2.597377705308092,2.597377705308092,2.291806655798357e-07,1.4437174491614746e-05,104,Q28989,AMBN,Ameloblastin,AMBN_PIG,3,505.18561901959725,6.051856190195973,EMD,SHAM,extracellular region,"growth factor activity,structural constituent of tooth enamel","cell adhesion,signal transduction,biomineral tissue development,odontogenesis of dentin-containing tooth",Upregulated
HA+EMD / SHAM,A0A5G2R327,A0A5G2R327,2.502179097271547,2.502179097271547,0.0001113541141395,0.0010894083851705,112,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,466.54050169398727,5.665405016939872,HA+EMD,SHAM,,,,Upregulated
HA+EMD / SHAM,Q28989,Q28989,2.45953751040907,2.45953751040907,2.771178577426798e-10,1.306093688328111e-07,112,Q28989,AMBN,Ameloblastin,AMBN_PIG,3,450.0403707022351,5.500403707022351,HA+EMD,SHAM,extracellular region,"growth factor activity,structural constituent of tooth enamel","cell adhesion,signal transduction,biomineral tissue development,odontogenesis of dentin-containing tooth",Upregulated
HA+EMD / SHAM,Q8MHY0,Q8MHY0,2.0941503692051286,2.0941503692051286,0.0055300826134961,0.0161922821853184,112,Q8MHY0,MYL2,MYL2,Q8MHY0_PIG,17,326.9746356051475,4.269746356051475,HA+EMD,SHAM,"cytoplasm,myofibril,actin cytoskeleton,cardiac myofibril","actin monomer binding,calcium ion binding,structural constituent of muscle","heart development,negative regulation of cell growth,muscle cell fate specification,ventricular cardiac muscle tissue morphogenesis,cardiac muscle contraction",Upregulated
HA / SHAM,Q75NG9,Q75NG9,1.9889280474559772,1.9889280474559772,3.845103278534443e-07,2.0779018109024136e-05,108,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,296.94195241559294,3.9694195241559296,HA,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
