Comparison (group1/group2),Group,ProteinGroups,AVG Log2 Ratio,Absolute AVG Log2 Ratio,Pvalue,Qvalue,# of Ratios,UniProtIds,Genes,ProteinDescriptions,ProteinNames,# Unique Total Peptides,% Change,Ratio,Condition Numerator,Condition Denominator,GO Cellular Component,GO Molecular Function,GO Biological Process,Direction
HA+EMD / SHAM,Q75NG9,Q75NG9,3.976256255755372,3.976256255755372,0.0002408448723401,0.0018567869577044,112,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,1473.88285133737,15.7388285133737,HA+EMD,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
VetricynVF / SHAM,Q75NG9,Q75NG9,3.7287122916129887,3.7287122916129887,0.0002565556321248,0.0019367711573603,82,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,1225.727438607122,13.257274386071218,VetricynVF,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
HA+P2 / SHAM,Q75NG9,Q75NG9,3.029528240034721,3.029528240034721,0.000855233734947,0.0044467712902983,106,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,716.5426482024216,8.165426482024216,HA+P2,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
HA+P6 / SHAM,Q75NG9,Q75NG9,2.8330180983568414,2.8330180983568414,7.56654256695744e-05,0.0008322406171347,106,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,612.5632594106792,7.125632594106792,HA+P6,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
VetricynVF / SHAM,A0A5G2R327,A0A5G2R327,2.7405727478527235,2.7405727478527235,0.0049380334009923,0.0149428685924939,82,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,568.3356111569426,6.683356111569426,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A5G2R327,A0A5G2R327,2.502179097271547,2.502179097271547,0.0001113541141395,0.0010894083851705,112,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,466.54050169398727,5.665405016939872,HA+EMD,SHAM,,,,Upregulated
HA / SHAM,Q75NG9,Q75NG9,1.9889280474559772,1.9889280474559772,3.845103278534443e-07,2.0779018109024136e-05,108,Q75NG9,TNNT3,"Troponin T, fast skeletal muscle",TNNT3_PIG,2,296.94195241559294,3.9694195241559296,HA,SHAM,troponin complex,"actin binding,tropomyosin binding,troponin C binding,troponin I binding,calcium-dependent protein binding","skeletal muscle contraction,regulation of striated muscle contraction",Upregulated
HA+P2 / SHAM,A0A5G2R327,A0A5G2R327,1.968508504799828,1.968508504799828,0.0024844096292663,0.0092744635622381,106,A0A5G2R327,MYLPF,"Myosin light chain, phosphorylatable, fast skeletal muscle",A0A5G2R327_PIG,22,291.36330837557074,3.913633083755708,HA+P2,SHAM,,,,Upregulated
VetricynVF / SHAM,A0A287B1R0,A0A287B1R0,1.8917012423038717,1.8917012423038717,0.0116351172228303,0.027089414706373,82,A0A287B1R0,TNNC2,"Troponin C, skeletal muscle",A0A287B1R0_PIG,8,271.07253979646725,3.710725397964673,VetricynVF,SHAM,,,,Upregulated
HA+EMD / SHAM,A0A287B1R0,A0A287B1R0,1.884362271225695,1.884362271225695,0.0040049577981926,0.012930358104855,112,A0A287B1R0,TNNC2,"Troponin C, skeletal muscle",A0A287B1R0_PIG,8,269.18969164167834,3.691896916416784,HA+EMD,SHAM,,,,Upregulated
